.	.	98.655	5427	42	4	8537	13936	9018	14440	0.0	9468
.	.	93.352	4227	266	6	2990	7205	4799	9021	0.0	6343
.	.	90.362	2874	176	9	18	2813	5711	8561	0.0	3984
.	.	92.513	2658	188	3	3831	6480	6	2660	0.0	3892
.	.	90.169	2777	226	6	11204	13936	5454	8227	0.0	3793
.	.	90.112	2771	227	5	3653	6417	11711	14440	0.0	3782
.	.	91.010	2603	216	7	11346	13936	1	2597	0.0	3624
.	.	89.376	2598	219	5	18	2576	81	2660	0.0	3470
.	.	88.047	2535	240	7	18	2513	11930	14440	0.0	3231
.	.	87.810	443	31	5	2562	2990	3513	3946	1.80e-159	554
