.	.	96.314	9388	251	16	1	9381	1	9300	0.0	15384
.	.	85.325	3857	367	27	13708	17399	8801	12623	0.0	4462
.	.	92.979	2877	140	7	15	2855	3925	6775	0.0	4302
.	.	92.601	2784	175	12	3687	6455	9856	12623	0.0	4066
.	.	89.937	2862	233	10	3942	6786	18	2841	0.0	3867
.	.	89.381	2778	244	7	14667	17399	3673	6444	0.0	3694
.	.	90.504	2538	220	3	18	2555	10107	12623	0.0	3496
.	.	90.146	2527	230	11	14889	17399	18	2541	0.0	3402
.	.	90.114	1052	82	6	9381	10423	6082	7120	0.0	1422
.	.	84.900	702	61	7	9381	10077	2180	2841	0.0	798
.	.	71.681	339	39	11	7507	7803	3133	3456	4.64e-047	181
.	.	72.222	306	30	9	3182	3470	7469	7736	5.65e-046	178
